Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0,0,0,0,0,0,1.73988259377685E-17,4.1555891513169E-20,2.32846932315302E-22,-1.35584681408591E-23,2.46093777747506E-20,-9.18564243044319E-23,2.30289113809148E-20,0,0,0,0,0,0,package://NAO68/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://NAO68/meshes/body.STL,,body2-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head1,6.25372997664631E-07,0.000158371027097426,-0.0181638535919461,0,0,0,3.64829046451713E-18,1.6339605473873E-21,2.76456201754414E-26,1.79084557882726E-25,1.69964135382535E-21,-5.63817700649132E-24,3.63773672347732E-22,0,0,0,0,0,0,package://NAO68/meshes/head1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/head1.STL,,neck-1,坐标系19,基准轴1,neck,revolute,0.47504,-0.47689,0.58122,0,0,0.0017099,body,0,0,-1,0,0,-3.14,3.14,,,,,,,,
head2,-0.474220313904524,0.581224229153061,0.477705818477059,0,0,0,1.11438377083869E-17,1.85775699859269E-20,1.11395918027865E-21,-1.12557586572029E-22,1.84946247546707E-20,-4.54506669612874E-23,1.34829394346157E-20,0,0,0,0,0,0,package://NAO68/meshes/head2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/head2.STL,,HEAD-1,坐标系20,基准轴2,neck2,revolute,0,0,0,-1.5708,0,0,head1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
left hand,0.000231357564223156,-0.00190218499329953,-0.0197769966525416,0,0,0,5.5595930385648E-18,2.61247563040612E-21,-7.83803479971208E-24,-1.5501611725242E-23,2.43764737848018E-21,3.11393945946181E-23,1.26967231032274E-21,0,0,0,0,0,0,package://NAO68/meshes/left hand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/left hand.STL,,LEFT_shoulder-1,坐标系17,基准轴3,shoulder1,revolute,0.47504,-0.37893,0.55497,-1.5708,0,0,body,0,0,-1,0,0,-3.14,3.14,,,,,,,,
left arm big,-0.546835137086555,-0.378932244590865,-0.484383496439525,0,0,0,1.98144086306489E-17,8.56847844201776E-21,-3.45459830960897E-22,-1.42217513387006E-22,1.70024836057973E-20,-1.88487359475286E-23,1.46085641985287E-20,0,0,0,0,0,0,package://NAO68/meshes/left arm big.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/left arm big.STL,,LEFT_arm-1,坐标系18,基准轴4,left arm1,revolute,0,0,0,-1.5708,0,-1.5878,left hand,0,0,-1,0,0,-3.14,3.14,,,,,,,,
left arm wrist,-0.000300627987979141,6.42422987140456E-07,0.0169080996055426,0,0,0,3.90413440836974E-18,1.9166000225257E-21,1.1680714133564E-26,-1.79256871620132E-23,1.82365586206386E-21,-7.54555405748239E-26,3.89968200127217E-22,0,0,0,0,0,0,package://NAO68/meshes/left arm wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/left arm wrist.STL,,LEFT_elbow-1,Origin_left arm small 22,基准轴23,left arm small 2,revolute,-0.10491,-0.013997,0.00030335,-1.5708,1.5058,-1.5541,left arm big,0,0,-1,0,0,-3.14,3.14,,,,,,,,
left hand small,0.32634,0.44718,0.50689,0,0,0,6.9084E-18,1.78E-21,2.0992E-22,-6.6334E-24,1.6795E-21,-1.6648E-23,2.2124E-21,0,0,0,0,0,0,package://NAO68/meshes/left hand small.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://NAO68/meshes/left hand small.STL,,LEFT_arm_small-1,Origin_left wrist2,基准轴5,left wrist,revolute,0,0,0,-1.5708,0.0023733,-1.5708,left arm wrist,0,0,1,0,0,-3.14,3.14,,,,,,,,
left hand end,0.37464,0.47231,-0.33393,0,0,0,6.2068E-18,4.3852E-21,-4.4671E-24,5.6214E-22,3.7566E-21,9.5437E-25,2.4434E-21,0,0,0,0,0,0,package://NAO68/meshes/left hand end.STL,1,1,1,1,0,0,0,0,0,0,package://NAO68/meshes/left hand end.STL,,LEFT_hand-1,坐标系6,基准轴6,left hand 2,revolute,0,0.11325,0,1.5708,-0.098584,0,left hand small,0,0,1,0,0,-3.14,3.14,,,,,,,,
right hand,-0.000336724530452581,-0.00192396358407243,0.0192366627225955,0,0,0,5.17411528603493E-18,2.36457520392244E-21,-7.96302539666317E-24,3.73716448794011E-24,2.23773220475309E-21,-3.38012344701264E-23,1.21109559600572E-21,0,0,0,0,0,0,package://NAO68/meshes/right hand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/right hand.STL,,RIGHT_shoulder-1,坐标系15,基准轴7,shoulder2,revolute,0.47504,-0.57484,0.55497,-1.5708,0,0,body,0,0,1,0,0,-3.14,3.14,,,,,,,,
right arm big,-0.511845444117378,-0.574837035011824,-0.521219992048967,0,0,0,1.64846561332705E-17,7.69423813547866E-21,6.72217182520053E-22,-4.91053600395591E-22,1.41287894080308E-20,8.34174928713744E-23,1.20294459318915E-20,0,0,0,0,0,0,package://NAO68/meshes/right arm big.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NAO68/meshes/right arm big.STL,,RIGHT_arm-1,坐标系16,基准轴8,right arm big 1,revolute,0,0,0,-1.5708,0,-1.6573,right hand,0,0,1,0,0,-3.14,3.14,,,,,,,,
